Quantity,Price,Side,Time
0.0001,30299.98,BUY,1688787244909
0.0001,30315.23,SELL,1688787245143
0.0001,30299.96,BUY,1688787362270
0.0001,30328.93,SELL,1688787362532
0.0001,30284.989999999998,BUY,1688787423411
0.0001,30325.42,SELL,1688787423645
0.0001,30278.999999999996,BUY,1688787484447
0.0001,30309.49,SELL,1688787484832
0.0001,30285.0,BUY,1688787570983
0.0001,30285.06,SELL,1688787571361
0.0001,30284.989999999998,BUY,1688787662838
0.0001,30329.2,SELL,1688787663250
0.0001,30285.0,BUY,1688787781941
0.0001,30336.35,SELL,1688787782194
0.0001,30289.99,BUY,1688787843074
0.0001,30304.18,SELL,1688787843303
0.0001,30289.99,BUY,1688787903968
0.0001,30321.22,SELL,1688787904365
0.0001,30289.99,BUY,1688787965007
0.0001,30315.52,SELL,1688787965397
0.0001,30289.997,BUY,1688788026367
0.0001,30341.27,SELL,1688788026608
0.0001,30249.999999999996,SELL,1688789644032
0.0001,30237.99,BUY,1688789644461
0.0001,30255.010000000002,BUY,1688789705373
0.0001,30289.05,SELL,1688789705734
0.0001,30254.989999999998,BUY,1688789766702
0.0001,30266.04,SELL,1688789767065
0.0001,30254.989999999998,BUY,1688789827965
0.0001,30338.92,SELL,1688789828319
0.0001,30245.01,SELL,1688789889163
0.0001,30208.52,BUY,1688789889525
0.0001,30240.64,SELL,1688789950396
0.0001,30235.46,BUY,1688789950749
0.0001,30254.96,BUY,1688790011434
0.0001,30263.4,SELL,1688790011812
0.0001,30245.02,SELL,1688790072408
0.0001,30240.02,BUY,1688790072912
0.0001,30254.97,BUY,1688790133592
0.0001,30285.67,SELL,1688790133970
0.0001,30251.519999999997,SELL,1688790195282
0.0001,30245.01,SELL,1688790256351
0.0001,30204.0,BUY,1688790256595
0.0001,30254.97,BUY,1688790317540
0.0001,30295.4,SELL,1688790317908
0.0001,30250.02,SELL,1688790378468
0.0001,30245.0,SELL,1688790439435
0.0001,30242.89,BUY,1688790439669
0.0001,30254.96,BUY,1688790500522
0.0001,30276.6,SELL,1688790500879
0.0001,30254.97,BUY,1688790561711
0.0001,30255.97,SELL,1688790562075
0.0001,30244.77,SELL,1688791226979
0.0001,30244.3,BUY,1688791227311
0.0001,30244.6,SELL,1688791287800
0.0001,30226.92,BUY,1688791288181
0.0001,30249.969999999998,BUY,1688791651013
0.0001,30240.09,SELL,1688791651315
0.0001,30240.0,BUY,1688791711764
0.0001,30254.79,SELL,1688791712128
0.0001,30230.399999999998,SELL,1688791772749
0.0001,30175.06,BUY,1688791773116
0.0001,30240.0,BUY,1688791833953
0.0001,30259.98,SELL,1688791834179
0.0001,30239.989999999998,BUY,1688791894702
0.0001,30285.69,SELL,1688791895180
0.0001,30200.01,SELL,1688792862963
0.0001,30156.55,BUY,1688792863427
0.0001,30196.049999999996,SELL,1688792924269
0.0001,30179.14,BUY,1688792924633
0.0001,30214.989999999998,BUY,1688792985484
0.0001,30213.16,SELL,1688792985847
0.0001,30214.94,BUY,1688793046399
0.0001,30214.97,BUY,1688793107763
0.0001,30290.2,SELL,1688793108120
0.0001,30209.999999999996,BUY,1688793168882
0.0001,30266.06,SELL,1688793169377
0.0001,30214.989999999998,BUY,1688793230234
0.0001,30248.98,SELL,1688793230728
0.0001,30214.989999999998,BUY,1688793291530
0.0001,30288.74,SELL,1688793291907
0.0001,30214.989999999998,BUY,1688793352418
0.0001,30295.93,SELL,1688793352923
0.0001,30214.989999999998,BUY,1688793413830
0.0001,30240.27,SELL,1688793414189
0.0001,30214.989999999998,BUY,1688793475133
0.0001,30251.06,SELL,1688793475363
0.0001,30214.979999999996,BUY,1688793536110
